URLs,Category 1,Country,Price/month
0180.info,Business,Germany,€2.99
24o.it,News,Italy,€1.00
50plus.de,Shopping,Germany,€2.99
750g.com,Restaurants & Dining,France,€2.00
abitare.it,Business,Italy,€0.75
additive-manufacturing-industry.de,Business,Germany,€2.99
aerokurier.de,Transportation,Germany,€2.99
aerotelegraph.com,Travel,USA,€3.30
aerztezeitung.de,Health & Medicine,Germany,€2.99
allesbeste.de,Education,Germany,€2.99
allgemeine-zeitung.de,News,Germany,€2.99
allocine.fr,Streaming Media & Downloads,France,€2.00
amandinecooking.com,Restaurants & Dining,France,€2.00
amica.it,Fashion & Beauty,Italy,€0.75
analog-praxis.de,Shopping,Germany,€2.99
androidnext.de,Computers & Technology,Germany,€1.99
anime2you.de,Entertainment,Germany,€2.99
ansa.it,News,Italy,€1.42
ansamed.info,News,Italy,€1.42
astroportal.com,Religion,Austria,€4.16
atlantico.fr,News,France,€9.90
aufunsere.art,Entertainment,Austria,€2.99
auszeit.bio,Personal Sites,Germany,€2.99
autlook.at,Business,Austria,€2.99
auto-motor-und-sport.de,Transportation,Germany,€0.99
autobild.de,Transportation,Germany,€3.99
autoflotte.de,Transportation,Germany,€3.99
autofrage.net,Transportation,Germany,€2.99
autoguru.de,Transportation,Germany,€2.99
autohaus.de,Transportation,Germany,€2.99
automobil-industrie.vogel.de,Business,Germany,€2.99
autoservice.co.at,Transportation,Austria,€2.99
autoservicepraxis.de,Transportation,Germany,€2.99
backenmachtgluecklich.de,Restaurants & Dining,Germany,€2.99
bahnblogstelle.com,Unknown,Germany,€2.99
basic-tutorials.de,Computers & Technology,Germany,€2.99
baugewerbe-magazin.de,News,Germany,€2.99
bba-online.de,Computers & Technology,Germany,€2.99
beauxarts.com,General,France,€3.95
bento.de,Entertainment,Germany,€4.99
bigdata-insider.de,Business,Germany,€2.99
bike-x.de,Transportation,Germany,€2.99
bild.de,News,Germany,€3.99
blechnet.com,Business,Germany,€2.99
boersennews.de,Finance,Germany,€1.99
boomer.at,Unknown,Austria,€2.99
braunschweiger-zeitung.de,News,Germany,€2.99
bravo.de,Entertainment,Germany,€2.99
brigitte.de,Leisure & Recreation,Germany,€4.99
bz-berlin.de,News,Germany,€3.99
calcionapoli1926.it,Sports,Italy,€0.83
caminteresse.fr,News,France,€1.99
capital.de,Finance,Germany,€4.99
capital.fr,News,France,€1.99
caravaning.de,Travel,Germany,€2.99
cavallo.de,Business,Germany,€2.99
cesoirtv.com,Entertainment,France,€1.99
chartsinfrance.net,Entertainment,France,€1.00
cinefacts.de,Entertainment,Germany,€1.99
cittaceleste.it,Sports,Italy,€0.83
climate-data.org,News,USA,€2.99
cloudcomputing-insider.de,Computers & Technology,Germany,€2.99
cnv-medien.de,News,Germany,€1.99
computer-automation.de,Computers & Technology,Germany,€2.99
computerbase.de,Computers & Technology,Germany,€4.00
computerbild.de,Computers & Technology,Germany,€2.99
computerfrage.net,Computers & Technology,Germany,€2.99
connect-living.de,Shopping,Germany,€2.99
connect-professional.de,Unknown,Germany,€2.99
connect.de,Computers & Technology,Germany,€2.99
corriere.it,News,Italy,€1.25
cosmopolitan.de,Leisure & Recreation,Germany,€2.99
das-pta-magazin.de,Health & Medicine,Germany,€2.99
datacenter-insider.de,Computers & Technology,Germany,€2.99
derbyderbyderby.it,Sports,Italy,€0.83
derstandard.at,News,Austria,€8.90
derstandard.de,News,Germany,€8.90
derwesten.de,News,Germany,€2.99
desired.de,Shopping,Germany,€1.99
dev-insider.de,Computers & Technology,Germany,€2.99
devicemed.de,Business,Germany,€2.99
dieharke.de,News,Germany,€4.99
diestandard.at,News,Austria,€8.90
dino-online.de,Forums & Newsgroups,Germany,€2.99
dnn-online.de,News,Germany,€4.99
dnn.de,News,Germany,€4.99
donnerwetter.de,News,Germany,€2.99
dumontreise.de,Travel,Germany,€2.99
easyvoyage.com,Travel,France,€2.00
eat.de,Computers & Technology,Germany,€2.99
echo-online.de,News,Germany,€2.99
egovernment-computing.de,Computers & Technology,Germany,€2.99
eklablog.com,Computers & Technology,France,€1.00
ekladata.com,Computers & Technology,France,€1.00
elektroniknet.de,Business,Germany,€2.99
elektronikpraxis.de,News,Germany,€2.99
elektropraxis.at,Business,Austria,€2.99
elektrotechnik.vogel.de,Business,Germany,€2.99
eltern.de,Leisure & Recreation,Germany,€4.99
embedded-software-engineering.de,Computers & Technology,Germany,€2.99
emtb-news.de,News,Germany,€2.99
en.kunststoffe.de,Business,Germany,€2.99
entsorgen.org,Computers & Technology,Switzerland,€2.99
erbrecht-ratgeber.de,Business,Germany,€2.99
erdbeerlounge.de,Leisure & Recreation,Germany,€1.99
erneuerbareenergien.de,Business,Germany,€4.99
esports.com,Sports,Germany,€2.99
etmm-online.com,Entertainment,Germany,€2.99
eurogamer.de,Games,Germany,€2.50
europamester.dk,Sports,Denmark,€3.89
express.de,News,Germany,€4.99
factorynet.at,Business,Austria,€2.99
fahrschule-online.de,Transportation,Germany,€2.99
falk.de,Education,Germany,€2.99
familie.de,Education,Germany,€1.99
farmeramania.de,Games,Germany,€1.04
faszination-fankurve.de,Sports,Germany,€2.99
faz.de,News,Germany,€4.99
faz.net,News,Germany,€4.99
fcinter1908.it,Sports,Italy,€0.83
femmeactuelle.fr,Leisure & Recreation,France,€1.99
finance-magazin.de,Finance,Germany,€5.90
finanzfrage.net,Finance,Germany,€2.99
finanzmarktwelt.de,News,Germany,$49.00
firmenwagen.co.at,Computers & Technology,Austria,€2.99
flugrevue.de,Travel,Germany,€2.99
fn.de,News,Germany,€2.99
form-werkzeug.de,Business,Germany,€2.99
formel1.de,Sports,Germany,€2.99
forzaroma.info,News,Italy,€0.83
fraenkische-rezepte.de,Restaurants & Dining,Germany,€2.99
free-fonts.com,Computers & Technology,USA,€2.99
freenet.de,Search Engines & Portals,Germany,€2.99
funandnews.de,News,Germany,€2.99
funkschau.de,Computers & Technology,Germany,€2.99
fussballfieber.de,Shopping,Germany,€2.99
gabler-banklexikon.de,Education,Germany,€2.99
gala.de,Fashion & Beauty,Germany,€4.99
gala.fr,Entertainment,France,€1.99
gamestar.de,Games,Germany,€4.99
gamona.de,Games,Germany,€1.99
gartendialog.de,Computers & Technology,Germany,€2.99
gartenjournal.net,Personal Sites,Germany,€2.99
gartenlexikon.de,Health & Medicine,Germany,€2.99
gastromand.dk,Restaurants & Dining,Denmark,€3.89
gazzetta.it,News,Italy,€0.83
geb-info.de,Business,Germany,€4.99
gentside.com,Leisure & Recreation,France,€1.99
geo.de,Leisure & Recreation,Germany,€4.99
geo.fr,Leisure & Recreation,France,€1.99
gesund-verlieben.de,Business,Germany,€2.99
gesundheitsfrage.net,Health & Medicine,Germany,€2.99
gifhorner-rundschau.de,News,Germany,€2.99
giga.de,Computers & Technology,Germany,€1.99
glaswelt.de,Business,Germany,€4.99
gnz.de,News,Germany,€4.99
goettinger-tageblatt.de,News,Germany,€4.99
goquiz.dk,Entertainment,Denmark,€3.89
goslarsche.de,News,Germany,€2.99
gpsradler.de,Computers & Technology,Germany,€2.50
gutefrage.de,Computers & Technology,Germany,€2.99
gutefrage.net,Forums & Newsgroups,Germany,€2.99
gutekueche.at,Search Engines & Portals,Austria,€2.99
gutekueche.de,Restaurants & Dining,Germany,€2.99
hallo-eltern.de,Health & Medicine,Germany,€2.99
hanser-automotive.de,Business,Germany,€2.99
harvardbusinessmanager.de,Business,Germany,€4.99
harzkurier.de,News,Germany,€2.99
haus-garten-test.de,Computers & Technology,Germany,€2.99
hausgarten.net,Leisure & Recreation,Germany,€2.99
haz.de,News,Germany,€4.99
hbold.dk,Sports,Denmark,€3.89
healthcare-computing.de,Health & Medicine,Germany,€2.99
heilpraxisnet.de,Health & Medicine,Germany,€2.99
heise.de,News,Germany,€4.95
helmstedter-nachrichten.de,News,Germany,€2.99
hildesheimer-allgemeine.de,News,Germany,€2.99
hlk.co.at,Business,Austria,€2.99
hockeymagasinet.dk,Sports,Denmark,€3.89
hoerzu.de,Entertainment,Germany,€2.99
hortica.de,Unknown,Germany,€2.99
huffingtonpost.fr,News,France,€2.00
huffingtonpost.it,News,Italy,€1.00
huffpost.fr,News,France,€2.00
iban-rechner.de,Finance,Germany,€2.99
ibancalculator.com,Finance,Iceland,€2.99
ilclubdellericette.it,Leisure & Recreation,Italy,?
ilmilanista.it,Sports,Italy,€0.83
ilposticipo.it,Sports,France,€0.83
ilsecoloxix.it,News,Italy,€1.00
ilsole24ore.com,News,Italy,€1.00
impulse.de,Business,Germany,€5.90
industrial-production.de,News,Germany,€2.99
industriemagazin.at,News,Austria,€2.99
industry-of-things.de,Business,Germany,€2.99
infranken.de,News,Germany,€2.99
inrlp.de,Personal Sites,Germany,€2.99
inside-digital.de,Computers & Technology,Germany,€2.99
iodonna.it,News,Italy,€0.75
ip-insider.de,Computers & Technology,Germany,€2.99
it-business.de,Computers & Technology,Germany,€2.99
it-daily.net,Computers & Technology,Germany,€2.99
itasportpress.it,Sports,Italy,€0.83
jeuxvideo.com,Forums & Newsgroups,France,€2.00
juvenews.eu,Sports,Belgium,€0.83
karrierefragen.de,Education,Germany,€2.99
kicker.de,News,Germany,€2.49
kino.de,Entertainment,Germany,€1.99
klack.de,Entertainment,Germany,€2.99
kn-online.de,News,Germany,€4.99
korrekturen.de,Education,Germany,€2.99
krone.at,News,Austria,€11.90
ksta.de,News,Germany,€4.99
kunststoff-magazin.de,Business,Germany,€2.99
kunststoffe.de,Business,Germany,€2.99
kurier.at,News,Austria,€3.60
lab-worldwide.com,Business,Germany,€2.99
labo.de,Business,Germany,€2.99
laborpraxis.vogel.de,Business,Germany,€2.99
lachainemeteo.com,News,France,€2.29
landeszeitung.de,News,Germany,€4.99
lanline.de,Computers & Technology,Germany,€2.99
lastampa.it,News,Italy,€1.00
le10sport.com,Sports,France,€2.00
leblogtvnews.com,Personal Sites,France,€2.00
lecker.de,Restaurants & Dining,Germany,€2.99
leiweb.it,Entertainment,Italy,€0.75
lemonde.fr,News,France,€10.99
lepoint.fr,News,France,€1.00
lezappingdupaf.com,Entertainment,France,€2.00
liberation.com,News,France,€1.00
liberation.fr,News,France,€1.00
liebenswert-magazin.de,Health & Medicine,Germany,€2.99
likehifi.de,Computers & Technology,Germany,€2.99
linux-community.de,Forums & Newsgroups,Germany,€2.99
linux-magazin.de,Computers & Technology,Germany,€2.99
linux-user.de,News,Germany,€2.99
livingathome.de,Shopping,Germany,€4.99
ln-online.de,News,Germany,€4.99
logistik-heute.de,Business,Germany,€2.99
logistra.de,Shopping,Germany,€2.99
lonelyplanet.de,Travel,Germany,€2.99
lvz-online.de,News,Germany,€4.99
lvz.de,News,Germany,€4.99
macnews.de,Computers & Technology,Germany,€1.99
macwelt.de,Computers & Technology,Germany,€2.99
maennersache.de,Entertainment,Germany,€2.99
maennerseite.net,Business,Germany,€2.99
maerkischeallgemeine.de,News,Germany,€4.99
manager-magazin.de,News,Germany,€4.99
marconomy.de,Business,Germany,€2.99
marcopolo.de,Travel,Germany,€2.99
maschinenmarkt.ch,Business,Germany,€2.99
maschinenmarkt.international,Business,Germany,€2.99
maschinenmarkt.vogel.de,Business,Germany,€2.99
materialfluss.de,Business,Germany,€2.99
maz-online.de,News,Germany,€4.99
medical-design.news,Real Estate,Germany,€2.99
meineorte.com,Leisure & Recreation,USA,€2.99
menshealth.de,Health & Medicine,Germany,€2.99
meteoblue.com,News,Switzerland,€0.75
millenium.org,Forums & Newsgroups,France,€1.00
mission-additive.de,Business,Germany,€2.99
mittelhessen.de,News,Germany,€2.99
mm-logistik.vogel.de,Business,Germany,€2.99
moin.de,Computers & Technology,Germany,€2.99
mondoudinese.it,News,Italy,€9.99
motorradfrage.net,Forums & Newsgroups,Germany,€2.99
motorradonline.de,News,Germany,€2.99
motorradundreisen.de,Transportation,Germany,€2.19
motorsport-total.com,Sports,Germany,€2.99
mountainbike-magazin.de,Sports,Germany,€2.99
moviemaze.de,Entertainment,Germany,€1.99
mtb-news.de,Sports,Germany,€2.99
mummum.dk,Personal Sites,Denmark,€2.55
mz-web.de,News,Germany,€1.99
neon.de,Business,Germany,€4.99
neonmag.fr,Entertainment,France,€1.99
netzwelt.de,Computers & Technology,Germany,€2.99
neuepresse.de,News,Germany,€2.99
news38.de,News,Germany,€2.99
next-mobility.de,Business,Germany,€2.99
nn-online.de,News,Germany,€2.90
nn.de,Education,Germany,€2.90
nordbayern.de,News,Germany,€2.90
nz-online.de,News,Germany,€2.90
oberhessische-zeitung.de,News,Germany,€2.99
oekotest.de,Leisure & Recreation,Germany,€2.99
ohmymag.com,Leisure & Recreation,Germany,€1.99
omnibusrevue.de,Business,Germany,€2.99
op-marburg.de,News,Germany,€4.99
ostsee-zeitung.de,News,Germany,€4.99
over-blog-kiwi.com,Personal Sites,France,€2.00
over-blog.com,Personal Sites,France,€2.00
overblog.com,Personal Sites,France,€2.00
paz-online.de,News,Germany,€4.99
pc-magazin.de,Computers & Technology,Germany,€2.99
pcgames.de,Entertainment,Germany,€2.50
pcwelt.de,Computers & Technology,Germany,€2.99
peiner-nachrichten.de,Politics & Law,Germany,€2.99
personalwirtschaft.de,Shopping,Germany,€5.90
photovoltaik.eu,Business,Belgium,€4.99
pianetamilan.it,Sports,Italy,€9.99
plantopedia.de,Education,Germany,€2.99
pnn.de,News,Germany,€2.99
prad.de,Computers & Technology,Germany,€2.99
praxisvita.de,Health & Medicine,Germany,€2.99
prisma.de,Computers & Technology,Germany,€2.99
process-worldwide.com,Non-profits & NGOs,Germany,€2.99
process.vogel.de,Health & Medicine,Germany,€2.99
profi-werkstatt.net,News,Germany,€2.99
programme-tv.net,Streaming Media & Downloads,France,€1.99
programme.tv,News,USA,€1.99
promiflash.de,Entertainment,Germany,€2.00
promobil.de,General,Germany,€2.99
purebreak.com,Entertainment,France,€1.00
purepeople.com,Leisure & Recreation,France,€2.00
puretrend.com,Entertainment,France,€1.00
qz-online.de,Business,Germany,€2.99
radiobielefeld.de,Entertainment,Germany,€2.99
radioguetersloh.de,Entertainment,Germany,€2.99
radiohochstift.de,Entertainment,Germany,€2.99
radiolippe.de,Streaming Media & Downloads,Germany,€2.99
radsport-news.com,Sports,Germany,€2.99
raspberry-pi-geek.de,Business,Germany,€2.99
reisefrage.net,Travel,Germany,€2.99
rennrad-news.de,Sports,Germany,€2.99
repubblica.it,News,Italy,€1.00
rheinpfalz.de,News,Germany,€1.50
rnd.de,News,Germany,€4.99
roadbike.de,Sports,Germany,€2.99
rp-online.de,News,Germany,€4.00
runnersworld.de,Sports,Germany,€2.99
saechsische.de,News,Germany,€2.99
sbz-monteur.de,Education,Germany,€4.99
sbz-online.de,Business,Germany,€4.99
schifffahrtundtechnik.de,Business,Germany,€2.99
schoener-wohnen.de,Shopping,Germany,€4.99
schulferien.org,Computers & Technology,Germany,€2.99
sciencesetavenir.fr,News,France,€4.00
security-insider.de,Computers & Technology,Germany,€2.99
selbst.de,Personal Sites,Germany,€2.99
selfies.com,Entertainment,Great Britain,€2.99
siegener-zeitung.de,News,Germany,€4.99
smart-rechner.de,Computers & Technology,Germany,€2.99
smarterworld.de,Business,Germany,€2.99
smarthouse-pro.de,Personal Sites,Germany,€2.99
sn-online.de,News,Germany,€4.99
solidbau.at,Business,Austria,€2.99
spiegel.de,News,Germany,€4.99
spiegel.tv,General,Germany,€4.99
spielaffe.de,Games,Germany,€1.99
spieletipps.de,Games,Germany,€1.99
spielfilm.de,Entertainment,Germany,€2.99
spon.de,News,Germany,€4.99
sportlerfrage.net,Sports,Germany,€2.99
sportnews.bz,Sports,Belize,€9.99
springermedizin.at,Health & Medicine,Austria,€2.99
springermedizin.de,Health & Medicine,Germany,€2.99
springerpflege.de,Health & Medicine,Germany,€2.99
springerprofessional.de,Business,Germany,€2.99
sprit-plus.de,Computers & Technology,Germany,€2.99
stadionwelt.de,Sports,Germany,€2.99
stern.de,News,Germany,€4.99
stimme.de,News,Germany,€2.99
stol.it,News,Italy,€9.99
storage-insider.de,Computers & Technology,Germany,€2.99
stylevamp.de,Business,Germany,€2.99
sudoku-aktuell.de,Leisure & Recreation,Germany,€2.99
sudoku-topical.com,Business,USA,€2.99
sudouest.fr,News,France,€9.90
supermadame.org,Personal Sites,France,€2.00
swp.de,News,Germany,€9.92
sz-online.de,News,Germany,€2.99
t-online.de,Search Engines & Portals,Germany,€2.99
t3n.de,Computers & Technology,Germany,€1.90
tageblatt.de,News,Germany,€2.99
tagesspiegel.de,News,Germany,€2.99
techniker-forum.de,Forums & Newsgroups,Germany,€2.00
teltarif.de,Computers & Technology,Germany,€2.99
terrafemina.com,News,France,€1.00
teslamag.de,Transportation,Germany,€2.99
tga.at,Business,Austria,€2.99
thueringen24.de,News,Germany,€2.99
tierfans.net,Shopping,Germany,€2.99
tomaten.de,Shopping,Germany,€2.99
tonline.de,Search Engines & Portals,Germany,€2.99
traktuell.at,Computers & Technology,Austria,€2.99
transferxl.com,Personal Storage,Netherlands,€8.49
trucker.de,Forums & Newsgroups,Germany,€2.99
tuttobolognaweb.it,Sports,Italy,€9.99
tvdigital.de,Entertainment,Germany,€2.99
tvdirekt.de,Entertainment,Germany,€2.99
tvmovie.de,Entertainment,Germany,€2.99
unnuetzes.com,Entertainment,Germany,€2.99
unsere-helden.com,Computers & Technology,USA,€2.99
unterwegs-auf-der-autobahn.de,Computers & Technology,Germany,€2.99
urbia.de,Health & Medicine,Germany,€4.99
utopia.de,Leisure & Recreation,Germany,€2.99
verkehrsrundschau.de,News,Germany,€2.99
versicherungsmagazin.de,Finance,Germany,€2.99
vienna.at,News,Austria,€4.80
violanews.com,Sports,Italy,€9.99
vision-mobility.de,Computers & Technology,Germany,€2.99
voici.fr,Entertainment,France,€1.99
vol.at,News,Austria,€4.80
volksstimme.de,News,Germany,€1.99
vorname.com,Leisure & Recreation,Germany,€4.99
wallstreet-online.de,Finance,Germany,€1.99
watson.de,News,Germany,€2.99
waz-online.de,News,Germany,€4.99
we-go-wild.com,General,Austria,€2.99
weihnachtsmarkt-deutschland.de,Business,Germany,€2.99
welt.de,News,Germany,€1.99
werkstatt-betrieb.de,Business,Germany,€2.99
werstreamt.es,Entertainment,Spain,€2.99
wetter.com,News,Germany,€2.99
wetter.info,News,Germany,€2.99
wiesbadener-kurier.de,Search Engines & Portals,Germany,€2.99
winfuture.de,Computers & Technology,Germany,€2.99
winload.de,File Repository,Germany,€1.99
wir-in-der-praxis.de,Computers & Technology,Germany,€2.99
wirtschaftslexikon.gabler.de,Business,Germany,€2.99
wohnmobilforum.de,Sports,Germany,€2.17
womenshealth.de,Health & Medicine,Germany,€2.99
wormser-zeitung.de,Search Engines & Portals,Germany,€2.99
wunderbunt.de,Leisure & Recreation,Germany,€2.99
wunderweib.de,Leisure & Recreation,Germany,€2.99
ze.tt,News,Spain,€4.80
zeit.de,News,Germany,€4.80
zuhause.de,Business,Germany,€2.99